Genotype,DiSC_Intensity,HT_Intensity
WT,743.8629375,238.5576989
WT,260.8208575,2.817492453
WT,194.6419575,1.462527253
WT,615.7697575,220.5198789
WT,186.7588775,7.158428853
WT,256.8861975,2.325753453
WT,750.1734775,243.0191589
WT,292.0739375,142.1526189
WT,663.3364775,234.7463989
WT,811.0558775,295.0807189
WT,79.37923754,2.138146853
WT,246.6469575,2.876848853
WT,317.3584175,1.507204853
WT,945.2831375,302.0781789
WT,232.0287975,4.552065853
WT,694.0636175,237.5485389
WT,268.1622175,4.142953253
WT,238.0150575,4.127908053
WT,188.4903975,4.397540053
WT,351.7014375,9.371355853
WT,159.5514575,1.928985253
WT,235.0835775,3.588509853
WT,340.9812175,4.649383253
WT,307.2654375,5.922436253
WT,751.6074775,225.3548589
WT,85.11160954,2.939147653
WT,610.9685975,550.5091589
WT,660.3447575,237.7398189
WT,94.99940354,3.370141253
WT,369.0969175,4.766338853
WT,858.3322775,355.9088589
WT,703.0723975,241.3624789
WT,303.4559375,3.443221853
WT,234.7959375,3.582046253
WT,1101.230678,427.3039589
WT,195.9588275,3.739620853
WT,171.6983295,34.88969085
WT,601.8615575,256.7447789
WT,734.7430975,281.0328189
WT,203.4219575,2.523965253
WT,211.0973975,2.501623253
WT,167.2296975,2.501180853
WT,270.2328575,.449792253
WT,199.6165175,1.570843253
WT,1218.504878,445.1337189
WT,1332.190678,453.9535589
WT,48.94399554,2.214764053
WT,717.1872775,261.2912589
WT,96.35146554,2.504754453
WT,602.7892775,214.7731789
WT,311.7346575,2.151836853
WT,172.4160655,3.196731253
WT,213.0007175,4.440203653
WT,63.90334554,1.409368653
WT,114.6633315,6.484209853
WT,732.7626775,248.2949589
WT,140.6478035,1.603106453
WT,593.4173775,228.0682389
WT,174.8579115,2.246871653
WT,134.0059375,5.338549453
WT,227.7784575,3.093407853
WT,129.7450975,5.194387653
WT,928.2742775,342.0910189
WT,178.2885255,1.987676853
WT,77.90026954,1.233010653
WT,105.6585455,1.200359853
WT,201.5943375,2.466595253
WT,203.8391575,2.888189453
WT,46.98308154,2.826458853
WT,430.5109175,271.6193589
WT,1433.697978,341.4608189
WT,85.76279354,6.226171653
WT,107.0110375,3.290948253
WT,755.9770775,220.5232389
WT,665.9166375,224.5027789
WT,327.4385575,119.1428789
WT,847.7466775,250.4806589
WT,48.52515954,3.872347853
WT,97.04809754,3.931490853
WT,717.3342175,274.0985789
WT,221.4352375,42.89716085
WT,73.96704154,2.120562453
WT,743.0942775,218.9095989
WT,788.6538375,244.7859989
WT,128.4396775,2.824544853
WT,124.4177255,6.295037653
WT,771.6738775,278.3356389
WT,835.3070775,299.4707789
WT,237.3594175,3.917751853
WT,269.2573175,4.433694253
WT,190.2242695,2.510058253
WT,141.7692375,3.000283653
WT,109.0555175,.361205853
WT,1038.107278,364.0552789
WT,226.6827575,3.286334053
WT,776.3739175,239.1615989
WT,959.0307975,381.5954189
WT,152.5132375,1.833401253
WT,892.5692775,253.4962189
WT,147.3322275,1.273815653
WT,68.57197354,4.462838853
WT,959.5244775,264.4886189
WT,167.4653375,1.970550253
WT,85.26423354,2.495089453
WT,97.14460554,1.188503853
WT,414.2533175,107.5058189
WT,92.34401754,4.089708853
WT,856.0512175,349.2900389
WT,214.9923175,7.204906853
WT,231.8971575,4.718530053
WT,52.52878554,3.684640253
WT,85.99209154,1.812627853
WT,263.0758775,.380389053
WT,240.5798175,2.145983653
WT,149.6950975,4.960479453
WT,192.6738295,3.305034853
WT,1382.156378,238.5967589
WT,999.3452775,252.5642589
WT,956.8785575,309.8422189
WT,885.6438775,347.3127189
WT,758.4516575,209.5138989
WT,145.4264175,3.173049653
WT,715.4239175,341.1100389
WT,16.58223954,1.186822253
WT,1327.647018,310.5536989
WT,771.7049775,258.6212189
WT,224.1828575,.899685453
WT,30.60438354,5.495867653
WT,85.41694354,1.665966453
WT,78.22209754,1.142013253
WT,130.5026575,2.545416053
WT,824.4912775,255.5270389
WT,118.8144055,1.775518453
WT,149.4594255,4.003289453
WT,657.7075575,248.1209189
WT,855.5867575,281.7204389
WT,758.4596775,229.8351789
WT,95.41552754,2.800872853
WT,85.16884954,2.317403853
WT,156.9585975,3.965926853
WT,967.3118775,293.4581389
WT,74.73273754,3.166418253
WT,765.9710775,267.8337189
WT,82.14570354,1.709896653
WT,58.35847354,2.649673253
WT,164.4315175,0
WT,123.7267095,4.077172853
WT,11.36403954,3.891454853
WT,74.62561154,0
WT,115.6640875,.088641053
WT,76.71435754,.209612853
WT,148.3333255,0
WT,18.01110954,2.764000853
WT,819.0418775,231.4471189
WT,445.5621375,157.1902189
WT,41.80463954,0
WT,819.4838175,207.8975789
WT,805.5620775,243.5412389
WT,10.37935894,4.403790053
WT,818.8574775,224.7132189
WT,100.9878675,1.480084053
WT,78.38793754,0
WT,14.65063554,1.197552253
WT,103.3326175,2.449834853
WT,39.39902354,3.154278253
WT,53.73737754,0
WT,39.46181754,1.146166853
WT,41.91374554,2.159368653
WT,96.98911154,3.375231653
WT,765.5254775,268.1848589
WT,36.48981954,5.409850853
WT,5.064808138,0
WT,41.02988354,0
WT,58.04580154,3.556682853
WT,926.5166775,259.2911189
WT,86.87731754,3.041631853
WT,101.3283695,2.041430453
WT,155.4970715,.965319653
WT,432.0320175,91.01387085
WT,807.2433575,237.1600189
WT,1073.813218,294.3052989
WT,151.1667495,4.477331253
WT,40.67475754,4.477904853
WT,917.7380775,274.5225789
WT,51.00505754,11.62383405
WT,55.46958154,2.019805653
WT,14.03200754,1.265215853
WT,212.4807975,1.373693653
WT,83.82629754,-.501837347
WT,828.1518775,255.4534189
WT,903.0370775,228.8139189
WT,68.39262754,2.186639053
WT,56.21293754,3.536413253
WT,91.84150554,.600140053
WT,36.05454154,.347131053
WT,78.86745754,.214446853
WT,70.19868354,1.593768053
WT,13.61987354,0
WT,77.49209154,4.118664253
WT,192.6025655,4.374840853
WT,174.9892375,3.290685853
WT,117.4840775,1.033837653
WT,81.03549754,2.056408453
WT,94.15744754,1.870074253
WT,102.2764655,1.451458453
WT,63.38349754,3.465807853
WT,36.11330754,2.951897853
WT,506.9369575,143.6192389
WT,502.0945175,150.6455109
WT,57.99943754,3.283288253
WT,65.63093354,8.645678453
WT,888.9578775,323.5883789
WT,914.6109775,316.8331589
DTolC,386.8099287,141.7921362
DTolC,520.4219087,148.6487482
DTolC,461.9335087,131.3529282
DTolC,394.3803887,182.2656682
DTolC,793.5657087,274.2720082
DTolC,424.6080287,134.1253382
DTolC,356.3127087,135.3298542
DTolC,390.2610087,127.2740682
DTolC,386.8315087,127.3184482
DTolC,516.2941087,158.9236082
DTolC,441.0156487,141.6584562
DTolC,375.9742687,122.4107082
DTolC,386.4689887,141.2348682
DTolC,506.7796087,138.5925282
DTolC,465.8887887,149.4308562
DTolC,254.2132287,158.5705162
DTolC,485.3549887,134.7665682
DTolC,512.7454287,157.2243382
DTolC,584.6273687,138.0750202
DTolC,468.1076287,155.1268882
DTolC,692.2097087,171.8538282
DTolC,630.7044087,182.5499482
DTolC,587.2328287,171.9603682
DTolC,583.3871087,189.4207282
DTolC,523.0159287,179.2983602
DTolC,546.7875087,172.2060282
DTolC,857.1973087,171.7864482
DTolC,832.6505087,167.1739682
DTolC,555.8160287,173.8249682
DTolC,428.0145687,138.3638142
DTolC,339.8028087,115.7039482
DTolC,409.4390887,122.7477282
DTolC,438.5304287,155.9472982
DTolC,382.7517287,128.7727282
DTolC,449.5596287,132.5566002
DTolC,435.2531087,126.4366782
DTolC,532.9637887,150.5337082
DTolC,465.6476687,149.2811002
DTolC,347.5657887,153.3316282
DTolC,378.7467887,145.7644382
DTolC,521.5356687,144.4542202
DTolC,333.2598887,151.5399382
DTolC,531.8606687,166.3690882
DTolC,613.7111087,149.6849822
DTolC,368.8510487,146.7176362
DTolC,620.1088487,194.3481162
DTolC,505.1451887,150.3622282
DTolC,626.8053087,158.8923882
DTolC,474.1946487,177.4687962
DTolC,493.3161087,152.1991182
DTolC,458.0912687,157.4578582
DTolC,410.9129487,127.7629002
DTolC,480.9787087,125.7681982
DTolC,447.3956287,119.8497282
DTolC,329.4297487,137.4346482
DTolC,1297.434009,138.5084562
DTolC,499.3775487,152.9476482
DTolC,556.6199487,140.1098282
DTolC,431.3228687,149.6909482
DTolC,1554.941429,150.6697482
DTolC,341.6864487,132.1316002
DTolC,457.8145087,142.7625682
DTolC,491.0025487,152.0659382
DTolC,332.7433687,130.7499482
DTolC,612.5467087,113.0752162
DTolC,388.8938087,131.1605802
DTolC,312.0107687,150.5581682
DTolC,525.4551487,144.8486082
DTolC,431.6800487,155.4264082
DTolC,479.2551087,128.1476682
DTolC,354.7971887,143.2219822
DTolC,448.6197487,134.7456142
DTolC,571.9971087,120.3829882
DTolC,269.8390887,144.4341282
DTolC,156.2824287,444.6652882
DTolC,412.1755487,146.1558282
DTolC,464.0078287,148.8297482
DTolC,528.3001087,138.5940482
DTolC,484.5302487,130.6649282
DTolC,448.2363487,167.6052582
DTolC,533.9772087,144.9773402
DTolC,423.2635087,143.8115802
DTolC,522.1958087,149.5582362
DTolC,552.0617887,177.3178562
DTolC,556.4075887,142.0678482
DTolC,511.4650487,170.9843602
DTolC,392.6240487,138.8034082
DTolC,529.9363487,136.1011282
DTolC,957.0995087,229.7076682
DTolC,781.4872687,228.2965482
DTolC,538.5166287,142.9027182
DTolC,427.1875087,156.6420382
DTolC,729.2258487,178.0325782
DTolC,416.9085687,153.1160602
DTolC,464.0992287,103.3370282
DTolC,388.1901087,112.8549162
DTolC,406.6800487,94.3305762
DTolC,473.9332287,117.2265582
DTolC,492.2873687,104.5379002
DTolC,554.3202887,128.4191002
DTolC,379.6528087,133.1097082
DTolC,403.3537287,115.2017082
DTolC,50.94060875,7.523364204
DTolC,467.9578687,121.9487282
DTolC,507.1863087,124.1267182
DTolC,422.8991087,114.3086762
DTolC,882.4563687,172.3307222
DTolC,781.7271687,172.9509362
